id,fen,plies
KPPKB,8/1P6/k7/8/1P6/6K1/8/6b1 w - - ,85
KPPKR,3K4/8/8/4P3/8/2r5/5P2/2k5 w - - ,107
KPPKQ,8/2P5/7q/8/8/4P3/3K4/k7 w - - ,247
KNPKP,N7/8/K7/8/4p3/8/6P1/k7 w - - ,113
KBPKP,8/7p/8/8/8/1B6/K6P/2k5 w - - ,133
KRPKP,R7/P7/8/K7/8/8/pk6/8 w - - ,111
KQPKP,8/8/8/8/3P2Q1/8/1p6/K1k5 w - - ,209
KPKNP,8/4K3/8/1p6/7P/8/1n6/k7 w - - ,115
KPKBP,4K3/8/6P1/8/1p6/8/3b4/k7 w - - ,101
KPKRP,K7/7P/4r3/8/5p2/8/2k5/8 w - - ,205
KPKQP,k1q5/2K5/7p/8/8/8/6P1/8 w - - ,67
KNKPP,8/p1p5/8/8/8/8/8/kNK5 w - - ,33
KBKPP,8/8/8/1p6/8/8/p7/k2KB3 w - - ,7
KRKPP,5K2/8/1R2p3/2p5/k7/8/8/8 w - - ,79
KQKPP,8/8/5K2/2p5/8/8/3p2Q1/2k5 w - - ,81
KKNPP,,
KKBPP,,
KKRPP,,
KKQPP,,
KPPPK,K7/8/8/8/2k3P1/6P1/6P1/8 w - - ,65
KPPKP,8/8/8/8/1p2P3/4P3/1k6/3K4 w - - ,253
KPKPP,8/8/P7/4K3/2p5/3p4/8/k7 w - - ,85
KKPPP,,
KNNNNK,8/8/8/8/8/8/1N5N/kN4NK w - - ,35
KBNNNK,8/8/8/8/8/NBN5/1NK5/k7 w - - ,43
KRNNNK,8/7N/7K/8/8/8/Nk6/RN6 w - - ,31
KQNNNK,6NQ/6NN/5K2/8/8/8/1k6/8 w - - ,15
KNNNKN,N7/8/8/6n1/8/6K1/2k4N/1N6 w - - ,179
KNNNKB,6bN/8/8/8/8/1N6/2k5/K6N w - - ,191
KNNNKR,8/8/8/6r1/8/8/5N2/KNk3N1 w - - ,49
KNNNKQ,8/8/8/8/2NN3q/8/8/K1k3N1 w - - ,47
KBBNNK,8/8/8/8/8/NB6/1NK5/kB6 w - - ,49
KRBNNK,8/8/8/8/8/N7/NRK5/kB6 w - - ,41
KQBNNK,5N1Q/6BN/5K2/8/8/8/8/1k6 w - - ,13
KBNNKN,8/5B2/4K3/8/8/5n2/4N3/N2k4 w - - ,217
KBNNKB,5N2/8/3b4/8/8/8/8/K1Bk3N w - - ,105
KBNNKR,3B4/8/2r5/8/2N1N3/8/4K3/k7 w - - ,111
KBNNKQ,8/8/8/7q/1B1N4/1K6/8/1k1N4 w - - ,77
KRRNNK,7K/8/8/8/8/8/NRR5/kN6 w - - ,19
KQRNNK,5NRQ/6K1/7N/8/8/8/2k5/8 w - - ,11
KRNNKN,8/8/4n3/1K6/8/8/1Nk5/1RN5 w - - ,67
KRNNKB,8/8/8/8/5K2/R7/1N5b/1k4N1 w - - ,59
